in s,C1 in V
-2.97153E+00,5.22329E-03
-2.97148E+00,5.36099E-03
-2.97143E+00,5.45913E-03
-2.97138E+00,5.61294E-03
-2.97133E+00,5.75210E-03
-2.97128E+00,5.85610E-03
-2.97123E+00,5.97769E-03
-2.97118E+00,6.14907E-03
-2.97113E+00,6.25601E-03
-2.97108E+00,6.38784E-03
-2.97103E+00,6.49185E-03
-2.97098E+00,6.57681E-03
-2.97093E+00,6.71450E-03
-2.97088E+00,6.82876E-03
-2.97083E+00,6.93423E-03
-2.97078E+00,7.00747E-03
-2.97073E+00,7.06167E-03
-2.97068E+00,7.08657E-03
-2.97063E+00,7.18325E-03
-2.97058E+00,7.22427E-03
-2.97053E+00,7.26235E-03
-2.97047E+00,7.24478E-03
-2.97042E+00,7.28579E-03
-2.97037E+00,7.29604E-03
-2.97032E+00,7.32681E-03
-2.97027E+00,7.35317E-03
-2.97022E+00,7.38687E-03
-2.97017E+00,7.38687E-03
-2.97012E+00,7.41616E-03
-2.97007E+00,7.37661E-03
-2.97002E+00,7.41177E-03
-2.96997E+00,7.40737E-03
-2.96992E+00,7.38101E-03
-2.96987E+00,7.44399E-03
-2.96982E+00,7.44839E-03
-2.96977E+00,7.49673E-03
-2.96972E+00,7.47036E-03
-2.96967E+00,7.55825E-03
-2.96962E+00,7.56558E-03
-2.96957E+00,7.59634E-03
-2.96952E+00,7.60659E-03
-2.96947E+00,7.60513E-03
-2.96942E+00,7.61245E-03
-2.96937E+00,7.60513E-03
-2.96932E+00,7.54653E-03
-2.96927E+00,7.57290E-03
-2.96921E+00,7.53921E-03
-2.96916E+00,7.49380E-03
-2.96911E+00,7.52603E-03
-2.96906E+00,7.45571E-03
-2.96901E+00,7.43813E-03
-2.96896E+00,7.42642E-03
-2.96891E+00,7.40151E-03
-2.96886E+00,7.42495E-03
-2.96881E+00,7.41909E-03
-2.96876E+00,7.40591E-03
-2.96871E+00,7.47036E-03
-2.96866E+00,7.44546E-03
-2.96861E+00,7.49966E-03
-2.96856E+00,7.51431E-03
-2.96851E+00,7.47183E-03
-2.96846E+00,7.50259E-03
-2.96841E+00,7.41030E-03
-2.96836E+00,7.37075E-03
-2.96831E+00,7.31802E-03
-2.96826E+00,7.28286E-03
-2.96821E+00,7.20229E-03
-2.96816E+00,7.11880E-03
-2.96811E+00,7.11587E-03
-2.96806E+00,7.00308E-03
-2.96801E+00,6.91665E-03
-2.96795E+00,6.81118E-03
-2.96790E+00,6.80093E-03
-2.96785E+00,6.72036E-03
-2.96780E+00,6.65591E-03
-2.96775E+00,6.54897E-03
-2.96770E+00,6.49917E-03
-2.96765E+00,6.42739E-03
-2.96760E+00,6.40542E-03
-2.96755E+00,6.31753E-03
-2.96750E+00,6.21938E-03
-2.96745E+00,6.18716E-03
-2.96740E+00,6.10659E-03
-2.96735E+00,6.02603E-03
-2.96730E+00,5.98062E-03
-2.96725E+00,5.92495E-03
-2.96720E+00,5.79019E-03
-2.96715E+00,5.78433E-03
-2.96710E+00,5.71841E-03
-2.96705E+00,5.61440E-03
-2.96700E+00,5.52798E-03
-2.96695E+00,5.44595E-03
-2.96690E+00,5.34487E-03
-2.96685E+00,5.25405E-03
-2.96680E+00,5.12368E-03
-2.96675E+00,5.04604E-03
-2.96669E+00,4.92739E-03
-2.96664E+00,4.82925E-03
-2.96659E+00,4.65054E-03
-2.96654E+00,4.56411E-03
-2.96649E+00,4.44985E-03
-2.96644E+00,4.32241E-03
-2.96639E+00,4.19058E-03
-2.96634E+00,4.05728E-03
-2.96629E+00,3.97524E-03
-2.96624E+00,3.90347E-03
-2.96619E+00,3.81558E-03
-2.96614E+00,3.73062E-03
-2.96609E+00,3.67935E-03
-2.96604E+00,3.70864E-03
-2.96599E+00,3.76284E-03
-2.96594E+00,3.85659E-03
-2.96589E+00,3.92690E-03
-2.96584E+00,4.02065E-03
-2.96579E+00,4.13198E-03
-2.96574E+00,4.26235E-03
-2.96569E+00,4.44546E-03
-2.96564E+00,4.63442E-03
-2.96559E+00,4.76187E-03
-2.96554E+00,4.93765E-03
-2.96549E+00,5.06362E-03
-2.96543E+00,5.17788E-03
-2.96538E+00,5.34780E-03
-2.96533E+00,5.44155E-03
